id,COC
1,1.0
2,208.0
3,37.0
4,50.0
5,1.0
6,21.0
7,5.0
8,1.0
9,1.0
10,198.0
11,1.0
12,54.0
13,12.0
14,18.0
15,1.0
16,1.0
17,7.0
18,1.0
19,7.0
20,1.0
21,3.0
22,28.0
23,1.0
24,73.0
25,6.0
26,1.0
27,118.0
28,2.0
29,1.0
30,7.0
31,14.0
32,1.0
33,2.0
34,1.0
35,21.0
36,1.0
37,22.0
38,1.0
39,4.0
40,1.0
41,1.0
42,7.0
43,28.0
44,1.0
45,5.0
46,13.0
47,1.0
48,26.0
49,54.0
50,51.0
51,9.0
52,1.0
53,28.0
54,1.0
55,22.0
56,5.0
57,9.0
58,26.0
59,15.0
60,28.0
61,10.0
62,122.0
63,8.0
64,7.0
65,5.0
66,16.0
67,1.0
68,13.0
69,9.0
