id,COC
1,1.0
2,1.0
3,3.0
4,19.0
5,26.0
6,1.0
7,1.0
8,1.0
9,1.0
10,4.0
11,2.0
12,95.0
13,1.0
14,1.0
15,6.0
16,3.0
17,1.0
18,15.0
19,1.0
20,1.0
21,1.0
22,5.0
23,5.0
24,3.0
25,1.0
26,1.0
27,6.0
28,1.0
29,8.0
30,1.0
31,4.0
32,5.0
33,1.0
34,1.0
35,1.0
36,4.0
37,5.0
38,17.0
39,2.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,55.0
46,1.0
47,21.0
48,4.0
49,1.0
50,1.0
51,1.0
52,4.0
53,1.0
54,3.0
55,19.0
56,1.0
57,2.0
58,2.0
59,31.0
60,1.0
61,4.0
62,9.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,6.0
69,5.0
70,1.0
71,9.0
72,1.0
73,4.0
74,1.0
75,2.0
76,1.0
77,1.0
78,46.0
79,1.0
80,1.0
81,1.0
82,3.0
83,7.0
84,4.0
85,1.0
86,1.0
87,4.0
88,1.0
89,41.0
90,5.0
91,6.0
92,10.0
93,4.0
94,76.0
95,5.0
96,6.0
97,1.0
98,1.0
99,3.0
100,5.0
101,1.0
102,1.0
103,1.0
104,1.0
105,1.0
106,3.0
107,2.0
108,1.0
109,5.0
110,1.0
111,1.0
112,5.0
113,1.0
114,1.0
115,1.0
116,3.0
117,1.0
118,13.0
119,1.0
120,8.0
121,4.0
122,3.0
123,1.0
124,16.0
125,1.0
126,1.0
127,111.0
128,9.0
129,4.0
130,3.0
131,1.0
132,22.0
133,1.0
134,27.0
135,7.0
136,10.0
137,5.0
138,1.0
139,1.0
140,1.0
141,1.0
142,1.0
143,6.0
144,1.0
145,8.0
146,1.0
147,3.0
148,1.0
149,1.0
150,4.0
151,1.0
152,11.0
153,6.0
154,2.0
155,1.0
156,1.0
157,1.0
158,1.0
159,1.0
160,1.0
161,7.0
162,2.0
163,1.0
164,1.0
165,1.0
166,3.0
167,1.0
168,10.0
169,1.0
170,1.0
171,3.0
172,1.0
173,3.0
174,7.0
175,1.0
176,1.0
